video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=sYf7WX_HhlQ&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@KTVUFox2,KTVU FOX 2 San Francisco,California drought: half of state no longer in drought conditions,85K,2 years,"Heavy snow and rain this winter have moved slightly more than half of California out of drought conditions, according to new data.",2026-01-19 19:10:26.561142
/shorts/cyveQLa9YTM,/@FirstCoastNews,First Coast News,"First time in 25 years, no drought in California",1.9K,5 days,"Here's a pretty incredible stat -- for the first time in two and a half decades, there is no technical drought in California.",2026-01-19 19:10:26.562481
/shorts/7wXTxkS3YX8,/@cbs8sandiego,CBS 8 San Diego,California has drought-free conditions for the 1st time in 25 years,837,10 days,The latest update from the U.S Drought Monitor shows that California is free of drought conditions for the first time in 25 years after ...,2026-01-19 19:10:26.566369
/watch?v=nx__MwyQ_ZU&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@naturepbs,Nature on PBS,Surviving Climate Change in California's Drought-Stressed Forests,8.1K,8 years,Refuges in California's forests may protect vulnerable species. Please LIKE and SUBSCRIBE if you enjoyed! http://bit.ly/1Adl6ht ...,2026-01-19 19:10:34.331248
/watch?v=-4c3SgqumwY&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@CNN,CNN,Expert: California drought will force 'major changes...,32K,10 years,What can be done to help California recover from the massive drought that has hit it? CNN's Poppy Harlow reports.,2026-01-19 19:10:34.332612
/watch?v=3okdYrGQigc&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@WION,WION,WION Climate Tracker | Reports: 94% of California state in severe drought,52K,3 years,The US state of California is in the midst of a super drought. The past three years have been the driest on record and authorities ...,2026-01-19 19:10:34.336090
/watch?v=PPokBJymGis&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@Reuters,Reuters,"California drought withers crops, increasing grocery prices",5.7K,3 years,A lack of rain and snow in central California and restricted water supplies from the Colorado River in the southernmost part of the ...,2026-01-19 19:10:34.337296
/watch?v=ZdH-g3_JZw4&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NatGeo,National Geographic,Sparse Snowpack Worsens California Drought Crisis | National Geographic,13K,11 years,"March 6, 2014---""It could be pretty grim,"" says California's chief of snow surveys, looking toward the summer months. During one ...",2026-01-19 19:10:34.339175
/watch?v=mAvLtBSJK2Y&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@SciShow,SciShow,Can Seawater Fix California’s Drought?,417K,9 years,How do we make seawater drinkable? And can that technology save California?! Hosted by: Michael Aranda ---------- Support ...,2026-01-19 19:10:34.340816
/watch?v=BZdcanN1Kbo&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@Bakersfieldnow,KBAK - KBFX - Eyewitness News - BakersfieldNow,"Recent rains alleviate drought in California, bring benefits and challenges to farmers",150,1 month,"The recent heavy rainfall in California, marking the third-highest November rainfall in the region's history, has brought relief to ...",2026-01-19 19:10:34.342021
/watch?v=7XPaQM1vOpc&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@abc7news,ABC7 News Bay Area,California has zero areas of dryness for 1st time in 25 years: Drought Monitor,1.6K,10 days,"Incredible news! For the first time in 25 years, not a single square mile of California is dry on the U.S. Drought Monitor. You have to ...",2026-01-19 19:10:34.345129
/watch?v=cHNLoO3davs&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@WUSA9news,WUSA9,California reports drought free for the first time in 25 years,190,6 days,THE LAST TIME CALIFORNIA HAD ZERO LEVEL OF DROUGHT CONDITIONS WAS DECEMBER OF 2000.,2026-01-19 19:10:34.347603
/watch?v=qQvbSLkldYw&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ActionNewsNow,Action News Now,California is drought-free for first time in 25 years.,175,10 days,The U.S. Drought Monitor shows no dry or drought areas in California.,2026-01-19 19:10:34.348809
/shorts/twAEnRGGRI8,/@ABC10,ABC10,California Weather: Wildfire vs storms,1.2K,12 days,California Weather: Wildfire vs storms About a year after drought and Santa Ana winds fueled some of the most destructive ...,2026-01-19 19:10:34.350078
/watch?v=LNzxHPGXwBc&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@abc7news,ABC7 News Bay Area,California drought: Marin County's reservoirs dip to just 36% capacity,73K,4 years,"Reservoirs across the Bay Area, which supply water for millions of residents, are increasingly depleting. For example, Marin ...",2026-01-19 19:10:34.353163
/watch?v=RprZTKSqjQw&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NOAADrought,National Integrated Drought Information System,Southern California Drought Early Warning Pilot: October 2024 Sector-Specific Drought Outlook,58,11 months,This outlook disseminates sector-specific drought scenarios that are based on tailored monitoring and forecasting information ...,2026-01-19 19:10:34.354316
/watch?v=fZXeEktMYLM&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@calwater,California DWR,The California Drought 1976-77 - A Two Year History,5.4K,14 years,This historical video chronicles the 1976-77 drought in California and demonstrates how Californians were able to cope with ...,2026-01-19 19:10:34.356369
/watch?v=mI_DDFyJ4fU&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@KTVUFox2,KTVU FOX 2 San Francisco,Startling before and after pictures of California's drought,11K,10 years,Before and after photos show us the severity of California's drought.,2026-01-19 19:10:34.359224
/watch?v=TnA0vOJeY-E&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NOAADrought,National Integrated Drought Information System,Southern California Drought Early Warning Pilot: August 2025 Sector-Specific Drought Outlook,49,4 months,This outlook disseminates sector-specific drought scenarios that are based on tailored monitoring and forecasting information ...,2026-01-19 19:10:34.360416
/watch?v=ffK3SCV7OYU&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h00gcJCU8KAYcqIYzv,/@PBSNewsHour,PBS NewsHour,Could Israel's water technology ease California's drought?,52K,10 years,Could the technology used in Israel that successfully turned the country's water shortage into a surplus be implemented in ...,2026-01-19 19:10:34.362217
/shorts/ysjIq9AT4Hc,/@News6WKMG,WKMG News 6 ClickOrlando,Watch the 'extreme drought' category in California disappear,56K,3 years,The latest update from the United States Department of Agriculture shows significant improvements to the longstanding and ...,2026-01-19 19:10:34.363482
/watch?v=cSQ09uI5GjU&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,California drought impacting rice crop this year,3.5K,4 years,"Rice farmers said that they are cutting back their production by 20%, which will impact not only the United States, but the world.",2026-01-19 19:10:34.365295
